time (s),Altitude (m),Airspeed (kmh),ax,ay,GForce
132.8333,11834,373,0.07194186159471413,-0.2839306849428351,0.2929031671078694
133.0,11817,373,0.03372505763243314,-0.3001192343968768,0.3020081693717547
133.1667,11800,373,-0.1186279299235319,-0.27433711334856964,0.29888699790785206
133.3333,11783,373,-0.2558126112432036,-0.26688794515737746,0.3696880676210604
133.5,11765,372,-0.25293793224324684,-0.23181686135790608,0.3430986079501343
133.6667,11748,372,-0.23066541929575632,-0.19874555425405677,0.3044771436325546
133.8333,11730,371,-0.1615231400446245,-0.18179744675865978,0.24318724559039503
134.0,11712,371,-0.13651343274500136,-0.2380261679978126,0.2743945589321095
134.1667,11695,370,-0.13434017542103432,-0.24609826662969067,0.28037767309522454
134.3333,11677,370,-0.20636813244394864,-0.3082390969259851,0.3709435900000834
134.5,11659,369,-0.2563125554171088,-0.31618244070446083,0.40702267980332296
134.6667,11642,369,-0.2827903680120279,-0.31062729178748766,0.4200710733240355
134.8333,11626,369,-0.27839608946686295,-0.28832155178105456,0.4007913420370715
135.0,11610,363,-0.24776351004332464,-0.2607936256774693,0.35972221519248515
135.1667,11594,363,-0.20800216050708195,-0.23263387538947275,0.3120631646867964
135.3333,11577,363,-0.1891200584442085,-0.21974320955808813,0.2899197727869396
135.5,11561,363,-0.14427506604488438,-0.20077032815837395,0.2472327230588154
135.6667,11544,367,-0.18649835119624805,-0.19518195218245796,0.26995856988929684
135.8333,11527,367,-0.17407973791643502,-0.18027961624668287,0.2506082504370236
136.0,11509,367,-0.18525648986826657,-0.1666191416388888,0.2491624076757793
136.1667,11492,366,-0.20636813244394864,-0.1595999254372554,0.26088300498112293
136.3333,11474,366,-0.18049602144433868,-0.1580813450090173,0.23993441895046055
136.5,11457,366,-0.15647191837327187,-0.11095714283115615,0.19182009484062257
136.6667,11440,365,-0.1795552174079892,-0.12174278910501943,0.21693635655993557
136.8333,11424,365,-0.18308323254429953,-0.12315399515954366,0.22064989590441
137.0,11408,364,-0.14727956925774224,-0.11814648980478056,0.188811717258059
137.1667,11392,364,-0.14928257139964748,-0.13517200801097554,0.20138708467379451
137.3333,11376,363,-0.1432044959345559,-0.13600083648348782,0.19749368389920377
137.5,11360,363,-0.1549807671481711,-0.1317185560421734,0.2033932550299316
137.6667,11343,362,-0.15979833264465046,-0.14754769981631907,0.21749903640498494
137.8333,11324,362,-0.1572945799672689,-0.13717501015288078,0.20870689566356568
138.0,11306,361,-0.14518819937428246,-0.14963486171208593,0.2084950960505821
138.1667,11288,361,-0.14330486188239902,-0.14934950754664889,0.20698202541177332
138.3333,11270,360,-0.14136445355742824,-0.15323032419659038,0.20847887418868724
138.5,11252,360,-0.18606847612117744,-0.16852969752809077,0.25104528825486233
138.6667,11235,359,-0.20525932768682228,-0.1907910853442387,0.2802367389356343
138.8333,11219,359,-0.19213847139416323,-0.19688951150843245,0.2751048380739874
139.0,11204,359,-0.1882576547442217,-0.20853196145825698,0.28093864725135725
139.1667,11188,359,-0.1891200584442085,-0.2128439799581919,0.28472610753210537
139.3333,11172,359,-0.15647191837327187,-0.2229464233008967,0.2723757861889975
139.5,11156,359,-0.15106649518228205,-0.22017441140808153,0.2670165863866018
139.6667,11139,359,-0.11988136138810897,-0.23736088514353687,0.2659167738304406
139.8333,11122,359,0.0016436399929166763,-0.25199710793760194,0.2520024681651783
140.0,11104,359,0.042004133152308346,-0.27133063088458337,0.274562667633644
140.1667,11087,358,0.13284398955093932,-0.28413601915711756,0.3136571423421822
140.3333,11069,358,0.1783389093763409,-0.2891854553135633,0.33975431441330606
140.5,11052,358,0.1850881557240649,-0.3121328928958262,0.3628836841425266
140.6667,11035,358,0.19723679914996897,-0.24734012795767216,0.3163534318401538
140.8333,11020,358,0.21563474474969177,-0.22319282435803625,0.31034397043954626
141.0,11004,353,0.04315400475229105,-0.27263730315729096,0.27603146052405214
141.1667,10988,353,0.05991559461357698,-0.20912901017363275,0.21754268862478893
141.3333,10972,353,-0.06000590450329739,-0.20298793767262618,0.21167147048160465
141.5,10957,353,-0.08111142953549165,-0.1649062294623625,0.18377466777764662
141.6667,10941,353,-0.07774678061731569,-0.16972379495884182,0.186683498123396
141.8333,10925,353,-0.06251919528611626,-0.19663079039843614,0.20633060246104373
142.0,10908,353,0.010957599952776224,-0.21256801077419601,0.21285024829965268
142.1667,10892,359,0.0022645706569071953,-0.2361633760058406,0.23617423324049594
142.3333,10876,359,-0.0011910434731278409,-0.23924103234040292,0.23924399708217672
142.5,10860,359,0.017706846300500657,-0.22574253964495405,0.2264359216450941
142.6667,10842,360,0.042004133152308346,-0.24345931130773063,0.24705623542892283
142.8333,10824,361,0.12526529036923556,-0.2078263584309951,0.24265858367256937
143.0,10805,362,0.14135303939081123,-0.20853196145825698,0.2519251092976804
143.1667,10786,362,0.12559095330489486,-0.21987588705039365,0.25321629737880175
143.3333,10767,363,0.09827597457646033,-0.22017441140808153,0.2411118798770567
143.5,10749,364,0.03646010936667755,-0.1974439138869954,0.2007820676904323
143.6667,10732,363,0.03299062351373432,-0.18424556048765528,0.1871758739774846
143.8333,10715,362,-0.012327299946872866,-0.1331332379736789,0.13370273511539094
144.0,10699,361,-0.04984186089630737,-0.13609005065934884,0.144930027896468
144.1667,10683,359,-0.09362019608775292,-0.12151996709641033,0.15340092411267264
144.3333,10667,358,-0.07626837427448072,-0.1275892141880481,0.1486468045118895
144.5,10651,357,0.030827381200476803,-0.17034472562283234,0.1731116777666878
144.6667,10635,356,0.010957599952776224,-0.20446634401546115,0.20475974905184366
144.8333,10620,356,0.02365845444349383,-0.21347118264909157,0.21477818392065962
145.0,10605,356,-0.018262666587959785,-0.17976826158222,0.18069353298664692
145.1667,10590,356,-0.14427506604488438,-0.18214240823865485,0.2323599611835752
145.3333,10575,356,-0.12185256984522211,-0.188696676358556,0.22462075693633116
145.5,10559,356,-0.08994363294570318,-0.18265985045864702,0.2036037280529182
145.6667,10543,356,-0.01801916436678721,-0.19766567483842093,0.19848528734847237
145.8333,10526,355,0.02076176833157568,-0.22119567894753997,0.22216790814453197
146.0,10509,354,0.04976576645219138,-0.23828488910780846,0.24342621035479034
146.1667,10492,353,-0.05424011976624105,-0.2799389878171808,0.28514527436442616
146.3333,10475,352,-0.11605094495440073,-0.21205997659456735,0.24173798935644722
146.5,10458,352,-0.0977052662455862,-0.20077032815837395,0.22328243039017212
146.6667,10441,351,-0.1117501265025173,-0.2103799693868006,0.2382180142065662
146.8333,10424,351,-0.11746215100892494,-0.21488238870361578,0.2448914002055101
147.0,10407,351,-0.06838354044602814,-0.21514372315815733,0.22575014998508283
147.1667,10390,351,-0.04137798458357785,-0.22427698900944815,0.22806206481425825
147.3333,10373,351,-0.03768196872649065,-0.22767732359796827,0.23077455329355134
147.5,10356,351,0.009546393898251997,-0.29532113381149455,0.2954753893510714
147.6667,10340,351,0.022600049902600772,-0.2783866611572043,0.2793025158602337
147.8333,10324,351,0.04775349115222187,-0.2898853771570311,0.29379232087768986
148.0,10308,351,0.09704116927875145,-0.3094331943567364,0.3242929081938134
148.1667,10293,350,0.12704463713363548,-0.29998424946992236,0.3257773622498189
